timestamp	commit	status	focus	checks	notes
2026-03-19T19:46:02-0700	cae43a2	keep	tighten theorem-local ACL2 hint extraction in generated prompts	uv run python scripts/test_acl2_hint_bridge.py; LAKE_NO_CACHE=1 lake build acl2lean; uv run python Verify.py; ./.lake/build/bin/acl2lean hints acl2_samples/die-hard-work.lisp make-prog-correct | sed -n '1,120p'; uv run python scripts/acl2_hint_bridge.py --book acl2_samples/apply-model-apply-prim.lisp --theorem 'n-car-cadr-caddr-etc-opener'; git push origin autoresearch/mar19-acl2lean; gh run list --branch autoresearch/mar19-acl2lean --limit 8	`n-car-cadr-caddr-etc-opener` now yields a theorem-local dynamic artifact rooted at the target `MODAPP !>>>` prompt and `DEFTHM` summary, instead of inheriting enclosing `IN-THEORY` / `ENCAPSULATE` summaries or unrelated warning kinds; tracked in Linear as ALOK-550
2026-03-19T20:02:15-0700	d1b308e	keep	extract structured replay actions from dynamic ACL2 hints	uv run python scripts/test_acl2_hint_bridge.py; uv run python scripts/acl2_hint_bridge.py --book acl2_samples/2009-log2.lisp --theorem nbr-calls-flog2-is-logarithmic; uv run python scripts/acl2_hint_bridge.py --book acl2_samples/2009-log2.lisp --theorem natp-clog2; lean-lsp diagnostics on ACL2Lean/HintBridge.lean ACL2Lean/ProofMode.lean ACL2Lean/ProofModeDemo.lean; LAKE_NO_CACHE=1 lake build ACL2Lean.HintBridge ACL2Lean.ProofMode ACL2Lean.ProofModeDemo Main; LAKE_NO_CACHE=1 lake build; ./.lake/build/bin/acl2lean hints acl2_samples/2009-log2.lisp nbr-calls-flog2-is-logarithmic | sed -n '1,200p'; ./.lake/build/bin/acl2lean hints acl2_samples/2009-log2.lisp natp-clog2 | sed -n '1,160p'; uv run python Verify.py; git push origin autoresearch/mar19-acl2lean; gh run list --branch autoresearch/mar19-acl2lean --limit 8	The dynamic hint bridge now emits typed Lean-visible replay actions from ACL2 `:USE` hints, disable advice, rewrite-overlap warnings, and induction choices; `nbr-calls-flog2-is-logarithmic` and `natp-clog2` both surface real actionable guidance; tracked in Linear as ALOK-551
2026-03-19T20:16:03-0700	b2647a3	keep	capture splitter and Non-rec ACL2 hint actions	uv run python scripts/test_acl2_hint_bridge.py; uv run python scripts/acl2_hint_bridge.py --book acl2_samples/die-hard-work.lisp --theorem next-unique; uv run python scripts/acl2_hint_bridge.py --book acl2_samples/die-hard-work.lisp --theorem exists-gcd-prog; ./.lake/build/bin/acl2lean hints acl2_samples/die-hard-work.lisp next-unique | sed -n '1,220p'; ./.lake/build/bin/acl2lean hints acl2_samples/die-hard-work.lisp exists-gcd-prog | sed -n '1,260p'; LAKE_NO_CACHE=1 lake build ACL2Lean.HintBridge ACL2Lean.ProofMode Main; LAKE_NO_CACHE=1 lake build; uv run python Verify.py; git push origin autoresearch/mar19-acl2lean; gh run list --branch autoresearch/mar19-acl2lean --limit 8	The dynamic hint bridge now lifts ACL2 splitter notes and `Non-rec` warnings into typed `split-goal` and `disable-definition` actions; `next-unique` and `exists-gcd-prog` both carry real theorem-local theory/split guidance through the Lean-visible action path; tracked in Linear as ALOK-552
2026-03-19T20:25:52-0700	33ed8f0	keep	capture typed-term observations and full induction blocks in dynamic ACL2 hints	uv run python scripts/test_acl2_hint_bridge.py; uv run python scripts/acl2_hint_bridge.py --book acl2_samples/2009-log2.lisp --theorem natp-clog2; LAKE_NO_CACHE=1 lake build ACL2Lean.HintBridge ACL2Lean.ProofMode Main; ./.lake/build/bin/acl2lean hints acl2_samples/2009-log2.lisp natp-clog2 | sed -n '1,220p'; LAKE_NO_CACHE=1 lake build; uv run python Verify.py; git push origin autoresearch/mar19-acl2lean; gh run list --branch autoresearch/mar19-acl2lean --limit 8	`natp-clog2` now carries a typed `typed-term` focus action for `(CLOG2 N)` and a complete induction summary including ACL2's emitted subgoal-count line; tracked in Linear as ALOK-553, with fresh GitHub Actions run `23327747480` queued on the branch
2026-03-19T20:37:39-0700	560bcb3	keep	harden dynamic ACL2 hint parsing for prompt-adjacent goals and multiline guidance	uv run python scripts/test_acl2_hint_bridge.py; uv run python scripts/acl2_hint_bridge.py --book acl2_samples/die-hard-work.lisp --theorem nonneg-int-gcd-0 | sed -n '1,180p'; uv run python scripts/acl2_hint_bridge.py --book acl2_samples/die-hard-work.lisp --theorem renaming-hack-lemma | sed -n '1,160p'; uv run python scripts/acl2_hint_bridge.py --book acl2_samples/die-hard-work.lisp --theorem exists-gcd-prog | sed -n '1,200p'; LAKE_NO_CACHE=1 lake build; uv run python Verify.py; ./.lake/build/bin/acl2lean hints acl2_samples/die-hard-work.lisp nonneg-int-gcd-0 | sed -n '1,120p'; ./.lake/build/bin/acl2lean hints acl2_samples/die-hard-work.lisp renaming-hack-lemma | sed -n '1,120p'; ./.lake/build/bin/acl2lean ci autoresearch/mar19-acl2lean	`renaming-hack-lemma` now preserves its leading `Goal'` checkpoint when ACL2 prints it on the prompt line, and `nonneg-int-gcd-0` now carries one coherent multiline `if-intro` splitter action instead of fake fragments; tracked in Linear as ALOK-554
2026-03-19T20:53:52-0700	391e6a2	keep	recover apply-model dynamic ACL2 hint directives	uv run python scripts/test_acl2_hint_bridge.py; uv run python scripts/acl2_hint_bridge.py --book acl2_samples/apply-model-apply.lisp --theorem 'ev$-def-fact'; uv run python scripts/acl2_hint_bridge.py --book acl2_samples/apply-model-apply.lisp --theorem 'apply$-badgep-hons-get-lemma'; LAKE_NO_CACHE=1 lake build; uv run python Verify.py; ./.lake/build/bin/acl2lean hints acl2_samples/apply-model-apply.lisp 'ev$-def-fact' | sed -n '1,200p'; ./.lake/build/bin/acl2lean hints acl2_samples/apply-model-apply.lisp 'apply$-badgep-hons-get-lemma' | sed -n '1,120p'	The dynamic bridge now loads the general `apply-model/apply` sample with the required upstream prelude chain and recovers emitted `:HINTS` directives from ACL2's echoed `DEFTHM` transcript when summary `Hint-events:` are missing; `ev$-def-fact` now surfaces a real `expand` action and `apply$-badgep-hons-get-lemma` surfaces a real `in-theory` action; tracked in Linear as ALOK-555
2026-03-19T21:06:22-0700	9c3e8c7	keep	classify ACL2 Free and plural Non-rec warnings	uv run python scripts/test_acl2_hint_bridge.py; uv run python scripts/acl2_hint_bridge.py --book acl2_samples/die-hard-work.lisp --theorem INV-INITIAL-STATE | rg -n 'disable-definition|INV-INITIAL-STATE|INITIAL-STATE|DEFINITION INV'; uv run python scripts/acl2_hint_bridge.py --book acl2_samples/die-hard-work.lisp --theorem NATP-/-GCD-LITTLE-LEMMA | rg -n 'bind-free-variable|NONNEG-INT-MOD J GCD|free variable J'; ./.lake/build/bin/acl2lean hints acl2_samples/die-hard-work.lisp POSITIVE-FLOOR-LITTLE-LEMMA | sed -n '1,220p'; lake build; uv run python Verify.py; push origin/autoresearch/mar19-acl2lean; gh run list --branch autoresearch/mar19-acl2lean --limit 4	The dynamic hint bridge now turns ACL2 `Free` warnings into typed `bind-free-variable` actions and handles plural/non-`:REWRITE` `Non-rec` warnings one definition at a time; `INV-INITIAL-STATE`, `NATP-/-GCD-LITTLE-LEMMA`, and `POSITIVE-FLOOR-LITTLE-LEMMA` all surface new structured guidance; tracked in Linear as ALOK-556
2026-03-19T21:21:01-0700	ae66f35	keep	capture ACL2 lifecycle progress metadata	uv run python scripts/test_acl2_hint_bridge.py; lean-lsp diagnostics on ACL2Lean/HintBridge.lean and ACL2Lean/ProofMode.lean; lake build ACL2Lean.HintBridge ACL2Lean.ProofMode Main; ./.lake/build/bin/acl2lean hints acl2_samples/2009-log2.lisp natp-clog2 | sed -n '65,75p'; lake build; uv run python Verify.py; git push origin autoresearch/mar19-acl2lean; gh run list --branch autoresearch/mar19-acl2lean --limit 6	The dynamic hint bridge now preserves ACL2 induction-push and completion lines as structured lifecycle metadata, and the Lean CLI/proof-mode path surfaces that progress distinctly from checkpoint text; `natp-clog2` now shows `[induction-push]`, `[subproof-complete]`, and `[checkpoint-complete]` entries; tracked in Linear as ALOK-557, with fresh GitHub Actions run `23328938391` in progress immediately after push
2026-03-19T21:34:43-0700	4751d4d	keep	unlock tri-sq dynamic hint extraction and preserve goal-targeted use guidance	uv run python scripts/test_acl2_hint_bridge.py; uv run python scripts/acl2_hint_bridge.py --book acl2_samples/2009-tri-sq.lisp --theorem pair-pow-log-is-correct; ./.lake/build/bin/acl2lean hints acl2_samples/2009-tri-sq.lisp pair-pow-log-is-correct | sed -n '1,180p'; LAKE_NO_CACHE=1 lake build ACL2Lean.HintBridge ACL2Lean.ProofMode Main; LAKE_NO_CACHE=1 lake build; uv run python Verify.py	The dynamic hint bridge now resolves the excerpted `2009-tri-sq` sample to the canonical upstream workshop book and lifts ACL2 `[Use]` warnings into explicit subgoal-targeted `use` actions; `pair-pow-log-is-correct` now carries separate `use PAIR-POW-2N-2N+1 in Subgoal *1/2` and `use ... in Subgoal *1/1` guidance instead of only one collapsed summary hint-event; tracked in Linear as ALOK-558
2026-03-19T21:47:21-0700	078c8ec	keep	preserve goal-targeted transcript hint actions	uv run python scripts/test_acl2_hint_bridge.py; uv run python scripts/acl2_hint_bridge.py --book acl2_samples/die-hard-work.lisp --theorem nonnegative-integer-quotient-gcd-exceeds-1 | sed -n '20,70p'; uv run python scripts/acl2_hint_bridge.py --book acl2_samples/apply-model-apply.lisp --theorem 'ev$-def-fact' | rg -n 'transcript-hint|expand|actions|hint_events|Goal'; ./.lake/build/bin/acl2lean hints acl2_samples/die-hard-work.lisp nonnegative-integer-quotient-gcd-exceeds-1 | sed -n '1,120p'; lake build; uv run python Verify.py; git push origin autoresearch/mar19-acl2lean; gh run list --branch autoresearch/mar19-acl2lean --limit 6	The dynamic hint bridge now keeps ACL2 goal targets on transcript-recovered hint actions, so transcript-only guidance from echoed `DEFTHM` forms reaches Lean as `transcript-hint` actions like `adjust theory ... in Goal` and `expand ... in Goal`; tracked in Linear as ALOK-559, with fresh GitHub Actions run `23329505758` in progress immediately after push
2026-03-19T21:58:42-0700	6b87cde	keep	split multi-item ACL2 use hint payloads into replayable actions	uv run python scripts/test_acl2_hint_bridge.py; uv run python scripts/acl2_hint_bridge.py --book acl2_samples/die-hard-work.lisp --theorem nonnegative-integer-quotient-gcd-relatively-prime | sed -n '1,220p'; ./.lake/build/bin/acl2lean hints acl2_samples/die-hard-work.lisp nonnegative-integer-quotient-gcd-relatively-prime | sed -n '1,220p'; lake build; uv run python Verify.py; git push origin autoresearch/mar19-acl2lean; gh run watch 23329725832 --exit-status	The dynamic hint bridge now splits theorem-local multi-item `:USE` payloads into one action per cited theorem or `(:INSTANCE ...)` form; `NONNEGATIVE-INTEGER-QUOTIENT-GCD-RELATIVELY-PRIME` now exposes five separate `use ... in Goal` transcript actions instead of one flattened blob; tracked in Linear as ALOK-560
2026-03-19T22:14:56-0700	afedca8	keep	preserve checkpoint-local goal targets on dynamic ACL2 actions	uv run python scripts/test_acl2_hint_bridge.py; uv run python scripts/acl2_hint_bridge.py --book acl2_samples/die-hard-work.lisp --theorem exists-gcd-prog | rg -n 'split using|goal_target|Goal''|splitter'; lean-lsp diagnostics on ACL2Lean/HintBridge.lean and ACL2Lean/ProofMode.lean; LAKE_NO_CACHE=1 lake build ACL2Lean.HintBridge ACL2Lean.ProofMode Main; lake build; uv run python Verify.py; ./.lake/build/bin/acl2lean hints acl2_samples/die-hard-work.lisp exists-gcd-prog | sed -n '1,140p'; git push origin autoresearch/mar19-acl2lean; gh run watch 23330076848 --exit-status	Dynamic ACL2 actions now carry an explicit `goal_target`, and real splitter notes like `Splitter note ... for Goal''` survive as checkpoint-local `split-goal` actions; `ACL2Lean.ProofMode` now reattaches targeted actions to the matching emitted checkpoint cards instead of leaving replay scoping implicit; tracked in Linear as ALOK-561
2026-03-19T22:26:53-0700	462025a	keep	recover forward-chaining non-rec ACL2 warnings	PYTHONPATH=scripts uv run python scripts/test_acl2_hint_bridge.py; PYTHONPATH=scripts uv run python -m unittest scripts.test_acl2_hint_bridge.HintBridgeParsingTests.test_non_rec_forward_chaining_warning_becomes_disable_definition_action; uv run python scripts/acl2_hint_bridge.py --book acl2_samples/apply-model-apply.lisp --theorem badge-type | rg -n 'disable-definition|BADGE-TYPE|BADGE FN|actions|warning_kinds|targets'; ./.lake/build/bin/acl2lean hints acl2_samples/apply-model-apply.lisp badge-type | rg -n 'disable \\(:DEFINITION BADGE\\)|trigger term|warning-kinds|actions'; lake build; uv run python Verify.py; git push origin autoresearch/mar19-acl2lean; gh run watch 23330347467 --exit-status	The dynamic hint bridge now turns ACL2 forward-chaining trigger-term `Non-rec` warnings into typed `disable-definition` actions; `badge-type` now surfaces `disable (:DEFINITION BADGE) so trigger term (BADGE FN) can arise for BADGE-TYPE` instead of leaving that theory guidance trapped in raw warning text; tracked in Linear as ALOK-562
2026-03-19T22:40:58-0700	19877c4	keep	recover tri-sq warning actions	PYTHONPATH=scripts uv run python scripts/test_acl2_hint_bridge.py; uv run python scripts/acl2_hint_bridge.py --book acl2_samples/2009-tri-sq.lisp --theorem 'Lemma-2' | rg -n 'free-variable search|LEMMA-2-N|disable \\(:DEFINITION POSP\\)'; uv run python scripts/acl2_hint_bridge.py --book acl2_samples/2009-tri-sq.lisp --theorem 'Lemma-3' | rg -n 'free-variable search|watch-rune-overlap|\\|\\(\\* x \\(\\+ y z\\)\\)\\||\\|\\(\\* y x\\)\\|'; uv run python scripts/acl2_hint_bridge.py --book acl2_samples/2009-tri-sq.lisp --theorem 'Lemma-4' | rg -n '\\|\\(\\+ y x\\)\\||watch-rune-overlap|compare generated rewrite'; ./.lake/build/bin/acl2lean hints acl2_samples/2009-tri-sq.lisp Lemma-2 | rg -n 'free-variable search|LEMMA-2-N|disable \\(:DEFINITION POSP\\)'; ./.lake/build/bin/acl2lean hints acl2_samples/2009-tri-sq.lisp Lemma-4 | rg -n '\\|\\(\\+ y x\\)\\||watch-rune-overlap|compare generated rewrite'; lake build; uv run python Verify.py; git push origin autoresearch/mar19-acl2lean; gh run watch 23330667126 --exit-status	The dynamic hint bridge now recovers `2009-tri-sq` combined free/non-rec warning guidance as typed `disable-definition` actions with hypothesis context, and it recognizes quoted/plural subsume runes as `watch-rune-overlap` actions; the scan of real tri-sq warnings fell from 26 actionless cases to 2 dedup-equivalent subsume duplicates; tracked in Linear as ALOK-563
2026-03-19T22:54:29-0700	52c6694	keep	split multi-rule ACL2 Use warnings	PYTHONPATH=scripts uv run python -m unittest scripts.test_acl2_hint_bridge.HintBridgeParsingTests.test_use_warning_with_multiple_rules_splits_actions; PYTHONPATH=scripts uv run python scripts/test_acl2_hint_bridge.py; lake build; uv run python Verify.py; ./.lake/build/bin/acl2lean hints acl2_samples/2009-tri-sq.lisp Lemma-5-d | rg -n 'use LEMMA-5-A in Goal|use LEMMA-5-C in Goal|disable \\(:REWRITE LEMMA-5-A\\) in Goal|disable \\(:REWRITE LEMMA-5-C\\) in Goal'; git push origin autoresearch/mar19-acl2lean; gh run watch 23330954514 --exit-status	The dynamic hint bridge now splits combined ACL2 `Warning [Use]` multi-rune advice into one `use` and one `disable-rule` action per cited rune; 11 real `2009-tri-sq` theorems now avoid malformed summaries like `use LEMMA-5-A) and (:REWRITE LEMMA-5-C in Goal`; tracked in Linear as ALOK-564
2026-03-19T23:16:37-0700	062e3b5	keep	parse dynamic ACL2 in-theory hints back into Lean TheoryExpr	lake build ACL2Lean.HintBridge ACL2Lean.ProofMode Main; lake build acl2lean; lake build; uv run python Verify.py; ./.lake/build/bin/acl2lean hints acl2_samples/apply-model-apply.lisp 'apply$-badgep-hons-get-lemma' | rg -n 'theory: enable|hons-assoc-equal'; ./.lake/build/bin/acl2lean hints acl2_samples/die-hard-work.lisp nonnegative-integer-quotient-gcd-exceeds-1 | rg -n 'theory: disable|disable floor|disable nonneg-int-gcd-is-common-divisor'; lean_run_code snapshotOfDynamicHints on nonnegative-integer-quotient-gcd-exceeds-1; git push origin autoresearch/mar19-acl2lean; gh run watch 23331468243 --exit-status	Dynamic ACL2 `:IN-THEORY` payloads are now parsed back into Lean `TheoryExpr`, so the CLI and proof-mode snapshot path surface structured `enable` / `disable` theory items instead of only flat `adjust theory ...` strings; tracked in Linear as ALOK-565
2026-03-19T23:29:38-0700	730bc57	keep	keep dynamic ACL2 artifacts theorem-local across helper summaries	PYTHONPATH=scripts uv run python -m unittest scripts.test_acl2_hint_bridge.HintBridgeParsingTests.test_theorem_section_ignores_helper_theorems_after_target_summary; PYTHONPATH=scripts uv run python -m unittest scripts.test_acl2_hint_bridge; uv run python scripts/acl2_hint_bridge.py --book acl2_samples/apply-model-apply.lisp --theorem 'FLAG-LEMMA-FOR-GUESS-ILKS-ALIST-CORRECT'; ./.lake/build/bin/acl2lean hints acl2_samples/apply-model-apply.lisp 'FLAG-LEMMA-FOR-GUESS-ILKS-ALIST-CORRECT' | sed -n '1,160p'; leak scan over acl2_samples/apply-model-apply.lisp for foreign-DEFTHM warning/observation blocks; lake build; uv run python Verify.py; git push origin autoresearch/mar19-acl2lean; gh run watch 23331811502 --exit-status	The dynamic hint bridge now stops target theorem artifacts before later helper-theorem summaries and filters warning/observation blocks by `DEFTHM` header, so `FLAG-LEMMA-FOR-GUESS-ILKS-ALIST-CORRECT` no longer inherits `GUESS-ILKS-ALIST-CORRECT` / `GUESS-ILKS-ALIST-LIST-CORRECT` warning actions; tracked in Linear as ALOK-566
2026-03-19T23:50:26-0700	a32515d	keep	parse dynamic expand/do-not-induct payloads in Lean	lean-lsp diagnostics on ACL2Lean/HintBridge.lean; lake build ACL2Lean.HintBridge ACL2Lean.ProofMode Main; ./.lake/build/bin/acl2lean hints acl2_samples/apply-model-apply.lisp 'ev$-def-fact' | rg -n 'expand:'; ./.lake/build/bin/acl2lean hints acl2_samples/die-hard-work.lisp nonnegative-integer-quotient-gcd-relatively-prime | rg -n 'do-not-induct:'; lake env lean proofmode debug on real artifacts; uv run python Verify.py; LAKE_NO_CACHE=1 lake build acl2lean; LAKE_NO_CACHE=1 lake build; git push origin autoresearch/mar19-acl2lean; gh run watch 23332255723 --exit-status	Dynamic ACL2 `:EXPAND` and `:DO-NOT-INDUCT` payloads are now reparsed into Lean-side structure and surfaced through both `acl2lean hints` and `ACL2Lean.ProofMode`; real outputs now show `expand: (ev$ x a)` and `do-not-induct: T`; tracked in Linear as ALOK-567; plain `lake build` hit the known local Lake cache permission issue, but the no-cache full build and pushed CI run both passed
2026-03-20T00:06:28-0700	e460995	keep	normalize dynamic ACL2 clause-processor and induction payloads	lean-lsp diagnostics on ACL2Lean/HintBridge.lean; lean-lsp diagnostics on ACL2Lean/ProofMode.lean; PYTHONPATH=scripts uv run python -m unittest scripts.test_acl2_hint_bridge.HintBridgeParsingTests.test_transcript_echoed_clause_processor_hint_event_is_recovered scripts.test_acl2_hint_bridge.HintBridgeParsingTests.test_transcript_echoed_induct_hint_event_is_recovered; PYTHONPATH=scripts uv run python -m unittest scripts.test_acl2_hint_bridge; lake build ACL2Lean.HintBridge ACL2Lean.ProofMode Main; LAKE_NO_CACHE=1 lake build acl2lean; ./.lake/build/bin/acl2lean hints acl2_samples/apply-model-apply.lisp 'FLAG-LEMMA-FOR-GUESS-ILKS-ALIST-CORRECT' | sed -n '96,122p'; ./.lake/build/bin/acl2lean hints acl2_samples/die-hard-work.lisp make-prog1-correct | sed -n '52,72p'; uv run python Verify.py; chmod -R u+w ~/.elan/toolchains/leanprover--lean4---v4.29.0-rc6/lake/cache/artifacts; lake build; git push origin autoresearch/mar19-acl2lean; gh run watch 23332652386 --exit-status	Dynamic ACL2 clause-processor and induction guidance now surfaces as structured Lean-side payloads instead of only flat summaries: `acl2lean hints` prints `clause-processor: FLAG::flag-is-cp`, `induct-term: (make-prog1-induction i n)`, and `induction-rule: MAKE-PROG1-INDUCTION`, while proof-mode notes emit matching `action-clause-processor` / `action-induct-term` / `action-induction-rule` entries; tracked in Linear as ALOK-568, and fixing the local Lake cache permissions restored a green plain `lake build`
2026-03-20T00:22:04-0700	94814e2	keep	capture transcript-echoed ACL2 otf-flg guidance	lean-lsp diagnostics on ACL2Lean/HintBridge.lean; lean-lsp diagnostics on ACL2Lean/ProofMode.lean; PYTHONPATH=scripts uv run python -m unittest scripts.test_acl2_hint_bridge.HintBridgeParsingTests.test_transcript_echoed_otf_flg_option_is_recovered scripts.test_acl2_hint_bridge.HintBridgeParsingTests.test_transcript_echoed_induct_hint_event_is_recovered scripts.test_acl2_hint_bridge.HintBridgeParsingTests.test_transcript_echoed_hint_actions_preserve_goal_targets; PYTHONPATH=scripts uv run python -m unittest scripts.test_acl2_hint_bridge; lake build ACL2Lean.HintBridge ACL2Lean.ProofMode Main; ./.lake/build/bin/acl2lean hints acl2_samples/die-hard-work.lisp 'mod-+-*-floor-gcd' | sed -n '1,160p'; uv run python scripts/acl2_hint_bridge.py --book acl2_samples/die-hard-work.lisp --theorem 'mod-+-*-floor-gcd' | rg -n 'otf-flg|OTF-FLG|transcript-option|actions|summary'; uv run python Verify.py; lake build; git push origin autoresearch/mar19-acl2lean; lake exe acl2lean ci autoresearch/mar19-acl2lean; gh run watch 23333045123 --exit-status	The dynamic hint bridge now preserves transcript-echoed theorem-level `:OTF-FLG` as a structured `transcript-option/otf-flg` action, so real `die-hard` output like `mod-+-*-floor-gcd` carries ACL2’s theorem-local proof-search configuration into the Lean CLI and proof-mode notes instead of leaving it stranded in raw transcript text; tracked in Linear as ALOK-569
